Kopfkino, mental cinema
Schnapsidee, crazy idea
Flughafen, airport
Berlin, a city in Germany
Bratwurst, a sausage
Haupstrasse, main road
Brot, bread
Gauss, gauss
Klimaanlage, air conditioning
Rammstein, a city in Germany
Musik, music
BMW, a car company
Biergarten, beer garden
Ratskeller, a bar in the basement of a town hall
Dirndel, a feminine dress from the Alps??
Lederhose, short or knee-length leather breeches
Luftschloss, a pipe dream (figurative)
Wettbewerbsfaehig, competitive
Schneewittchen, Snow White
